AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 23.04.2026 at 10:38:02 Compatible with AeroDyn v13.0.
Polar "DU-06-W-200_Re2.000_M0.00_N9.0 360 M" on Foil "DU-06-W-200" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.59          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
11.96279       Cn slope for zero lift for linear Cn curve (1/rad)
0.0329         Cn at stall value for positive angle of attack for linear Cn curve
0.7938         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0000         Minimum CD value
  -180.000 -0.024925  0.006002 -0.009903
  -179.000  0.073372  0.006507  0.029081
  -178.000  0.171669  0.008018  0.067760
  -177.000  0.269966  0.010536  0.106118
  -176.000  0.368261  0.014055  0.144141
  -175.000  0.465709  0.018572  0.181487
  -174.000  0.554863  0.024081  0.215270
  -173.000  0.616965  0.030574  0.238331
  -172.000  0.632105  0.038044  0.243251
  -171.000  0.602493  0.046481  0.231215
  -170.000  0.554057  0.055874  0.212342
  -169.000  0.511044  0.066212  0.195877
  -168.000  0.482875  0.077483  0.185300
  -167.000  0.469123  0.089671  0.180353
  -166.000  0.466328  0.102762  0.179665
  -165.000  0.471090  0.116740  0.181920
  -164.000  0.480832  0.131587  0.186133
  -163.000  0.493756  0.147286  0.191625
  -162.000  0.508641  0.163816  0.197940
  -161.000  0.524657  0.181157  0.204772
  -160.000  0.541233  0.199288  0.211917
  -159.000  0.557968  0.218187  0.219233
  -158.000  0.574577  0.237831  0.226623
  -157.000  0.590853  0.258195  0.234020
  -156.000  0.606641  0.279254  0.241374
  -155.000  0.621826  0.300983  0.248652
  -154.000  0.636317  0.323355  0.255830
  -153.000  0.650044  0.346342  0.262890
  -152.000  0.662952  0.369916  0.269820
  -151.000  0.674996  0.394049  0.276611
  -150.000  0.686141  0.418711  0.283259
  -149.000  0.696358  0.443872  0.289758
  -148.000  0.705624  0.469500  0.296108
  -147.000  0.713921  0.495566  0.302308
  -146.000  0.721234  0.522036  0.308357
  -145.000  0.727552  0.548879  0.314257
  -144.000  0.732866  0.576062  0.320009
  -143.000  0.737172  0.603551  0.325615
  -142.000  0.740466  0.631313  0.331077
  -141.000  0.742746  0.659315  0.336397
  -140.000  0.744015  0.687522  0.341578
  -139.000  0.744275  0.715899  0.346622
  -138.000  0.743531  0.744413  0.351532
  -137.000  0.741789  0.773027  0.356309
  -136.000  0.739057  0.801709  0.360957
  -135.000  0.735345  0.830422  0.365477
  -134.000  0.730662  0.859132  0.369872
  -133.000  0.725023  0.887803  0.374143
  -132.000  0.718439  0.916401  0.378291
  -131.000  0.710925  0.944891  0.382320
  -130.000  0.702498  0.973239  0.386228
  -129.000  0.693174  1.001409  0.390019
  -128.000  0.682971  1.029368  0.393691
  -127.000  0.671909  1.057082  0.397247
  -126.000  0.660006  1.084516  0.400685
  -125.000  0.647285  1.111638  0.404007
  -124.000  0.633766  1.138415  0.407212
  -123.000  0.619472  1.164814  0.410298
  -122.000  0.604426  1.190803  0.413267
  -121.000  0.588653  1.216350  0.416116
  -120.000  0.572176  1.241424  0.418845
  -119.000  0.555021  1.265996  0.421452
  -118.000  0.537214  1.290034  0.423936
  -117.000  0.518781  1.313510  0.426294
  -116.000  0.499749  1.336396  0.428526
  -115.000  0.480145  1.358663  0.430628
  -114.000  0.459997  1.380285  0.432599
  -113.000  0.439332  1.401234  0.434435
  -112.000  0.418179  1.421487  0.436136
  -111.000  0.396567  1.441017  0.437698
  -110.000  0.374524  1.459802  0.439118
  -109.000  0.352079  1.477819  0.440395
  -108.000  0.329261  1.495045  0.441524
  -107.000  0.306100  1.511460  0.442505
  -106.000  0.277411  1.527043  0.442921
  -105.000  0.253523  1.541777  0.443612
  -104.000  0.229374  1.555642  0.444147
  -103.000  0.204993  1.568622  0.444523
  -102.000  0.180409  1.580702  0.444738
  -101.000  0.155651  1.591866  0.444789
  -100.000  0.130749  1.602100  0.444675
   -99.000  0.105730  1.611393  0.444393
   -98.000  0.080623  1.619733  0.443943
   -97.000  0.055458  1.627109  0.443321
   -96.000  0.030261  1.633514  0.442528
   -95.000  0.005060  1.638937  0.441561
   -94.000 -0.020116  1.643374  0.440420
   -93.000 -0.045240  1.646819  0.439104
   -92.000 -0.070286  1.649267  0.437614
   -91.000 -0.095227  1.650715  0.435947
   -90.000 -0.120038  1.651160  0.434105
   -89.000 -0.144691  1.650604  0.432089
   -88.000 -0.169162  1.649045  0.429898
   -87.000 -0.193427  1.646486  0.427534
   -86.000 -0.217460  1.642929  0.424998
   -85.000 -0.241238  1.638379  0.422291
   -84.000 -0.264737  1.632841  0.419416
   -83.000 -0.287935  1.626321  0.416375
   -82.000 -0.310809  1.618827  0.413169
   -81.000 -0.333338  1.610367  0.409802
   -80.000 -0.355500  1.600952  0.406277
   -79.000 -0.377274  1.590593  0.402597
   -78.000 -0.398642  1.579301  0.398765
   -77.000 -0.419583  1.567091  0.394786
   -76.000 -0.440080  1.553977  0.390664
   -75.000 -0.460113  1.539973  0.386403
   -74.000 -0.479667  1.525097  0.382007
   -73.000 -0.498724  1.509366  0.377482
   -72.000 -0.517269  1.492799  0.372832
   -71.000 -0.535287  1.475415  0.368063
   -70.000 -0.552764  1.457234  0.363181
   -69.000 -0.569687  1.438279  0.358190
   -68.000 -0.586044  1.418571  0.353098
   -67.000 -0.601823  1.398133  0.347910
   -66.000 -0.617013  1.376990  0.342632
   -65.000 -0.631606  1.355166  0.337271
   -64.000 -0.645594  1.332688  0.331833
   -63.000 -0.658968  1.309580  0.326324
   -62.000 -0.671723  1.285870  0.320753
   -61.000 -0.683854  1.261587  0.315125
   -60.000 -0.695359  1.236757  0.309448
   -59.000 -0.706234  1.211409  0.303728
   -58.000 -0.716479  1.185574  0.297974
   -57.000 -0.726097  1.159281  0.292191
   -56.000 -0.735090  1.132560  0.286389
   -55.000 -0.743462  1.105441  0.280574
   -54.000 -0.751222  1.077955  0.274755
   -53.000 -0.758378  1.050134  0.268938
