AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 17:15:58 Compatible with AeroDyn v13.0.
Polar "FFA-W3-241_Re2.000_M0.00_N9.0 360 M" on Foil "FFA-W3-241" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-0.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
0.00000        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0000         Minimum CD value
  -180.000 -0.089316  0.006008 -0.032619
  -179.000  0.019118  0.006502  0.007001
  -178.000  0.127551  0.007984  0.046378
  -177.000  0.235985  0.010452  0.085493
  -176.000  0.344385  0.013900  0.124319
  -175.000  0.450257  0.018323  0.161943
  -174.000  0.539437  0.023716  0.193309
  -173.000  0.584648  0.030070  0.208811
  -172.000  0.569411  0.037377  0.202869
  -171.000  0.513416  0.045627  0.182759
  -170.000  0.452220  0.054810  0.161165
  -169.000  0.405968  0.064911  0.145137
  -168.000  0.377782  0.075920  0.135680
  -167.000  0.363993  0.087820  0.131437
  -166.000  0.360152  0.100598  0.130809
  -165.000  0.362779  0.114236  0.132562
  -164.000  0.369467  0.128716  0.135852
  -163.000  0.378613  0.144021  0.140121
  -162.000  0.389156  0.160131  0.145009
  -161.000  0.400389  0.177026  0.150276
  -160.000  0.411831  0.194684  0.155766
  -159.000  0.423155  0.213083  0.161375
  -158.000  0.434131  0.232199  0.167035
  -157.000  0.444597  0.252010  0.172699
  -156.000  0.454439  0.272490  0.178337
  -155.000  0.463576  0.293613  0.183930
  -154.000  0.471950  0.315354  0.189468
  -153.000  0.479522  0.337686  0.194945
  -152.000  0.486266  0.360580  0.200359
  -151.000  0.492164  0.384008  0.205710
  -150.000  0.497208  0.407941  0.211003
  -149.000  0.501398  0.432351  0.216242
  -148.000  0.504734  0.457206  0.221432
  -147.000  0.507225  0.482476  0.226578
  -146.000  0.508882  0.508131  0.231687
  -145.000  0.509718  0.534138  0.236766
  -144.000  0.509748  0.560465  0.241820
  -143.000  0.508992  0.587081  0.246854
  -142.000  0.507470  0.613954  0.251876
  -141.000  0.505202  0.641049  0.256889
  -140.000  0.502211  0.668334  0.261898
  -139.000  0.498522  0.695776  0.266907
  -138.000  0.494160  0.723341  0.271920
  -137.000  0.489149  0.750996  0.276938
  -136.000  0.483516  0.778707  0.281964
  -135.000  0.477287  0.806440  0.286998
  -134.000  0.470491  0.834163  0.292040
  -133.000  0.463153  0.861840  0.297091
  -132.000  0.455301  0.889439  0.302149
  -131.000  0.446962  0.916926  0.307210
  -130.000  0.438163  0.944268  0.312274
  -129.000  0.428932  0.971432  0.317335
  -128.000  0.419295  0.998385  0.322390
  -127.000  0.409279  1.025094  0.327432
  -126.000  0.398909  1.051527  0.332457
  -125.000  0.388210  1.077653  0.337457
  -124.000  0.377208  1.103439  0.342426
  -123.000  0.365926  1.128856  0.347355
  -122.000  0.354388  1.153871  0.352237
  -121.000  0.342617  1.178455  0.357062
  -120.000  0.330634  1.202578  0.361821
  -119.000  0.318461  1.226212  0.366505
  -118.000  0.306118  1.249327  0.371104
  -117.000  0.293624  1.271897  0.375607
  -116.000  0.280998  1.293893  0.380004
  -115.000  0.268257  1.315290  0.384285
  -114.000  0.255418  1.336062  0.388438
  -113.000  0.242496  1.356183  0.392454
  -112.000  0.229507  1.375630  0.396321
  -111.000  0.216463  1.394379  0.400030
  -110.000  0.203379  1.412408  0.403568
  -109.000  0.190266  1.429694  0.406927
  -108.000  0.177134  1.446218  0.410097
  -107.000  0.163995  1.461959  0.413067
  -106.000  0.138864  1.476899  0.414888
  -105.000  0.125411  1.491019  0.417469
  -104.000  0.111963  1.504302  0.419826
  -103.000  0.098524  1.516732  0.421952
  -102.000  0.085102  1.528295  0.423840
  -101.000  0.071700  1.538976  0.425482
  -100.000  0.058324  1.548763  0.426874
   -99.000  0.044977  1.557643  0.428009
   -98.000  0.031661  1.565606  0.428883
   -97.000  0.018379  1.572641  0.429492
   -96.000  0.005134  1.578741  0.429833
   -95.000 -0.008075  1.583898  0.429903
   -94.000 -0.021244  1.588105  0.429701
   -93.000 -0.034374  1.591357  0.429227
   -92.000 -0.047464  1.593650  0.428479
   -91.000 -0.060515  1.594981  0.427458
   -90.000 -0.073525  1.595348  0.426166
   -89.000 -0.086496  1.594749  0.424605
   -88.000 -0.099427  1.593186  0.422779
   -87.000 -0.112319  1.590660  0.420689
   -86.000 -0.125172  1.587174  0.418342
   -85.000 -0.137987  1.582730  0.415743
   -84.000 -0.150764  1.577334  0.412896
   -83.000 -0.163503  1.570992  0.409808
   -82.000 -0.176205  1.563711  0.406487
   -81.000 -0.188869  1.555499  0.402940
   -80.000 -0.201496  1.546365  0.399175
   -79.000 -0.214084  1.536319  0.395202
   -78.000 -0.226634  1.525373  0.391029
   -77.000 -0.239144  1.513539  0.386666
   -76.000 -0.251615  1.500831  0.382123
   -75.000 -0.264044  1.487262  0.377411
   -74.000 -0.276430  1.472847  0.372541
   -73.000 -0.288772  1.457604  0.367523
   -72.000 -0.301067  1.441550  0.362369
   -71.000 -0.313315  1.424702  0.357092
   -70.000 -0.325512  1.407080  0.351701
   -69.000 -0.337658  1.388703  0.346211
   -68.000 -0.349749  1.369592  0.340633
   -67.000 -0.361784  1.349769  0.334978
   -66.000 -0.373761  1.329256  0.329260
   -65.000 -0.385678  1.308075  0.323490
   -64.000 -0.397534  1.286251  0.317681
   -63.000 -0.409327  1.263808  0.311846
   -62.000 -0.421057  1.240771  0.305996
   -61.000 -0.432724  1.217164  0.300143
   -60.000 -0.444330  1.193016  0.294301
   -59.000 -0.455876  1.168351  0.288480
   -58.000 -0.467365  1.143197  0.282693
   -57.000 -0.478802  1.117581  0.276953
   -56.000 -0.490194  1.091532  0.271271
   -55.000 -0.501549  1.065076  0.265658
   -54.000 -0.512877  1.038243  0.260128
   -53.000 -0.524192  1.011061  0.254692
   -52.000 -0.535511  0.983558  0.249363
   -51.000 -0.546853  0.955764  0.244153
   -50.000 -0.558243  0.927705  0.239075
   -49.000 -0.569709  0.899412  0.234142
   -48.000 -0.581287  0.870912  0.229367
   -47.000 -0.593015  0.842234  0.224766
   -46.000 -0.604943  0.813405  0.220352
   -45.000 -0.617123  0.784453  0.216142
   -44.000 -0.629622  0.755405  0.212154
   -43.000 -0.642513  0.726287  0.208405
   -42.000 -0.655881  0.697125  0.204915
   -41.000 -0.669824  0.667945  0.201706
