AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re3.000_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.98          Angle of attack for zero Cn for linear Cn curve (deg)
7.22725        Cn slope for zero lift for linear Cn curve (1/rad)
2.4064         Cn at stall value for positive angle of attack for linear Cn curve
-0.3793        Cn at stall value for negative angle of attack for linear Cn curve
-4.00          Angle of attack for minimum CD (deg)
0.0093         Minimum CD value
  -180.000 -0.296032  0.006001 -0.121335
  -179.000 -0.195012  0.006521 -0.079549
  -178.000 -0.093993  0.008080 -0.038076
  -177.000  0.007027  0.010670  0.003067
  -176.000  0.108047  0.014285  0.043866
  -175.000  0.209064  0.018916  0.084304
  -174.000  0.308227  0.024554  0.123627
  -173.000  0.388595  0.031188  0.155137
  -172.000  0.413744  0.038806  0.164655
  -171.000  0.369302  0.047394  0.147004
  -170.000  0.293937  0.056939  0.117750
  -169.000  0.229606  0.067425  0.093321
  -168.000  0.188114  0.078836  0.078160
  -167.000  0.165019  0.091155  0.070411
  -166.000  0.153595  0.104362  0.067399
  -165.000  0.148831  0.118438  0.067162
  -164.000  0.147537  0.133363  0.068472
  -163.000  0.147767  0.149116  0.070592
  -162.000  0.148332  0.165674  0.073084
  -161.000  0.148508  0.183013  0.075693
  -160.000  0.147844  0.201111  0.078268
  -159.000  0.146069  0.219942  0.080729
  -158.000  0.143017  0.239481  0.083035
  -157.000  0.138599  0.259701  0.085174
  -156.000  0.132774  0.280575  0.087150
  -155.000  0.125540  0.302076  0.088982
  -154.000  0.116915  0.324175  0.090692
  -153.000  0.106940  0.346843  0.092313
  -152.000  0.095671  0.370052  0.093878
  -151.000  0.083173  0.393771  0.095423
  -150.000  0.069523  0.417969  0.096985
  -149.000  0.054804  0.442616  0.098601
  -148.000  0.039106  0.467680  0.100308
  -147.000  0.022524  0.493130  0.102143
  -146.000  0.005156  0.518934  0.104141
  -145.000 -0.012893  0.545060  0.106334
  -144.000 -0.031519  0.571475  0.108754
  -143.000 -0.050615  0.598146  0.111430
  -142.000 -0.070071  0.625040  0.114388
  -141.000 -0.089778  0.652125  0.117653
  -140.000 -0.109625  0.679368  0.121245
  -139.000 -0.129503  0.706734  0.125181
