AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 23.04.2026 at 10:42:52 Compatible with AeroDyn v13.0.
Polar "SD7062_Re2.000_M0.00_N9.0 360 M" on Foil "SD7062" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-0.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
12.14          Angle of attack for zero Cn for linear Cn curve (deg)
0.00000        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.20           Angle of attack for minimum CD (deg)
0.0000         Minimum CD value
  -180.000 -0.120530  0.006001 -0.042517
  -179.000 -0.029005  0.006518 -0.010163
  -178.000  0.062520  0.008067  0.022022
  -177.000  0.154046  0.010643  0.054028
  -176.000  0.245569  0.014243  0.085844
  -175.000  0.336317  0.018859  0.117189
  -174.000  0.419123  0.024485  0.145585
  -173.000  0.475756  0.031112  0.164793
  -172.000  0.487622  0.038729  0.168582
  -171.000  0.458797  0.047326  0.158583
  -170.000  0.414923  0.056891  0.143711
  -169.000  0.377573  0.067410  0.131334
  -168.000  0.353900  0.078869  0.123825
  -167.000  0.342669  0.091252  0.120710
  -166.000  0.340487  0.104542  0.120804
  -165.000  0.344290  0.118722  0.123053
  -164.000  0.351842  0.133773  0.126699
  -163.000  0.361618  0.149676  0.131230
  -162.000  0.372601  0.166408  0.136311
  -161.000  0.384109  0.183950  0.141721
  -160.000  0.395683  0.202277  0.147316
  -159.000  0.407009  0.221366  0.153000
  -158.000  0.417870  0.241193  0.158712
  -157.000  0.428116  0.261733  0.164412
  -156.000  0.437641  0.282959  0.170074
  -155.000  0.446374  0.304845  0.175682
  -154.000  0.454265  0.327363  0.181231
  -153.000  0.461281  0.350484  0.186716
  -152.000  0.467403  0.374180  0.192139
  -151.000  0.472622  0.398420  0.197503
  -150.000  0.476936  0.423175  0.202814
  -149.000  0.480351  0.448415  0.208079
  -148.000  0.482875  0.474106  0.213304
  -147.000  0.484523  0.500218  0.218498
  -146.000  0.485311  0.526719  0.223668
  -145.000  0.485261  0.553576  0.228822
  -144.000  0.484394  0.580755  0.233968
  -143.000  0.482735  0.608223  0.239113
  -142.000  0.480310  0.635947  0.244263
  -141.000  0.477148  0.663893  0.249425
  -140.000  0.473277  0.692027  0.254604
  -139.000  0.468727  0.720314  0.259805
  -138.000  0.463529  0.748720  0.265032
  -137.000  0.457714  0.777211  0.270289
  -136.000  0.451314  0.805751  0.275576
  -135.000  0.444361  0.834307  0.280895
  -134.000  0.436887  0.862844  0.286248
  -133.000  0.428924  0.891327  0.291633
  -132.000  0.420505  0.919722  0.297048
  -131.000  0.411661  0.947995  0.302492
  -130.000  0.402424  0.976112  0.307961
  -129.000  0.392824  1.004039  0.313450
  -128.000  0.382891  1.031743  0.318955
  -127.000  0.372657  1.059191  0.324469
  -126.000  0.362148  1.086349  0.329986
  -125.000  0.351395  1.113185  0.335498
  -124.000  0.340422  1.139667  0.340996
  -123.000  0.329258  1.165764  0.346471
  -122.000  0.317926  1.191445  0.351915
  -121.000  0.306452  1.216679  0.357316
  -120.000  0.294857  1.241435  0.362663
  -119.000  0.283164  1.265685  0.367946
  -118.000  0.271392  1.289400  0.373153
  -117.000  0.259562  1.312551  0.378271
  -116.000  0.247691  1.335111  0.383289
  -115.000  0.235795  1.357054  0.388194
  -114.000  0.223891  1.378354  0.392973
  -113.000  0.211993  1.398984  0.397615
  -112.000  0.200112  1.418922  0.402105
  -111.000  0.188261  1.438143  0.406432
  -110.000  0.176450  1.456624  0.410584
  -109.000  0.164689  1.474344  0.414548
  -108.000  0.152985  1.491282  0.418312
  -107.000  0.141344  1.507418  0.421866
  -106.000  0.124441  1.522732  0.424781
  -105.000  0.112799  1.537207  0.427896
  -104.000  0.101228  1.550826  0.430769
  -103.000  0.089730  1.563572  0.433391
  -102.000  0.078305  1.575431  0.435754
  -101.000  0.066956  1.586388  0.437849
  -100.000  0.055681  1.596430  0.439669
   -99.000  0.044478  1.605546  0.441207
   -98.000  0.033347  1.613725  0.442457
   -97.000  0.022285  1.620956  0.443415
   -96.000  0.011289  1.627232  0.444077
   -95.000  0.000354  1.632545  0.444439
   -94.000 -0.010522  1.636888  0.444499
   -93.000 -0.021344  1.640256  0.444255
   -92.000 -0.032116  1.642645  0.443707
   -91.000 -0.042844  1.644053  0.442855
   -90.000 -0.053531  1.644476  0.441700
   -89.000 -0.064184  1.643914  0.440245
   -88.000 -0.074807  1.642368  0.438493
   -87.000 -0.085405  1.639840  0.436446
   -86.000 -0.095982  1.636331  0.434111
   -85.000 -0.106543  1.631846  0.431491
   -84.000 -0.117093  1.626390  0.428594
   -83.000 -0.127635  1.619968  0.425427
   -82.000 -0.138173  1.612587  0.421997
   -81.000 -0.148710  1.604257  0.418312
   -80.000 -0.159248  1.594986  0.414382
   -79.000 -0.169791  1.584784  0.410215
   -78.000 -0.180340  1.573664  0.405824
   -77.000 -0.190896  1.561637  0.401217
   -76.000 -0.201459  1.548717  0.396406
   -75.000 -0.212031  1.534918  0.391402
   -74.000 -0.222609  1.520257  0.386218
   -73.000 -0.233193  1.504748  0.380866
   -72.000 -0.243782  1.488411  0.375357
   -71.000 -0.254373  1.471263  0.369706
   -70.000 -0.264962  1.453324  0.363924
   -69.000 -0.275548  1.434613  0.358025
   -68.000 -0.286125  1.415151  0.352021
   -67.000 -0.296690  1.394961  0.345926
   -66.000 -0.307237  1.374064  0.339753
   -65.000 -0.317762  1.352484  0.333516
   -64.000 -0.328260  1.330246  0.327226
   -63.000 -0.338725  1.307372  0.320897
   -62.000 -0.349152  1.283890  0.314541
   -61.000 -0.359536  1.259824  0.308172
   -60.000 -0.369872  1.235201  0.301802
   -59.000 -0.380155  1.210047  0.295442
   -58.000 -0.390382  1.184391  0.289106
   -57.000 -0.400550  1.158258  0.282806
   -56.000 -0.410658  1.131678  0.276552
   -55.000 -0.420705  1.104679  0.270357
   -54.000 -0.430693  1.077287  0.264233
   -53.000 -0.440628  1.049533  0.258190
   -52.000 -0.450514  1.021444  0.252241
   -51.000 -0.460363  0.993048  0.246398
   -50.000 -0.470189  0.964373  0.240672
   -49.000 -0.480011  0.935447  0.235075
   -48.000 -0.489854  0.906296  0.229621
   -47.000 -0.499748  0.876948  0.224323
   -46.000 -0.509732  0.847427  0.219194
   -45.000 -0.519855  0.817759  0.214252
   -44.000 -0.530176  0.787966  0.209512
   -43.000 -0.540767  0.758072  0.204993
   -42.000 -0.551713  0.728096  0.200717
   -41.000 -0.563121  0.698056  0.196706
